Cancer Site,Year,Tumour Type,Tumour Type 2,Tumour Type 3,Tumour Type 4,Tumour Type 5,Tumour Type 6,Tumour Type 7,Basis of Diagnosis,Stage,Stage Detail,Stage Detail 2,Age,Age Detail,Region,Gender,Grade,Nodal Status,Incidence,Population,Incidence Rate,Incidence Rate LCI,Incidence Rate UCI,Routes Population,Screening,Screening percentage,Screening percentage LCI,Screening percentage UCI,Two Week Wait,Two Week Wait percentage,Two Week Wait percentage LCI,Two Week Wait percentage UCI,GP Referral,GP Referral percentage,GP Referral percentage LCI,GP Referral percentage UCI,Other Outpatient,Other Outpatient percentage,Other Outpatient percentage LCI,Other Outpatient percentage UCI,Inpatient Elective,Inpatient Elective percentage,Inpatient Elective percentage LCI,Inpatient Elective percentage UCI,Emergency Presentation,Emergency Presentation percentage,Emergency Presentation percentage LCI,Emergency Presentation percentage UCI,DCO,DCO percentage,DCO percentage LCI,DCO percentage UCI,Unknown Route,Unknown Route percentage,Unknown Route percentage LCI,Unknown Route percentage UCI,Route not classified,Route not classified percentage,Route not classified percentage LCI,Route not classified percentage UCI,Treatment cohort,CT count,CT percentage,CT percentage LCI,CT percentage UCI,RT count,RT percentage,RT percentage LCI,RT percentage UCI,Surgery count,Surgery percentage,Surgery percentage LCI,Surgery percentage UCI,CT only count,CT only percentage,CT only percentage LCI,CT only percentage UCI,RT only count,RT only percentage,RT only percentage LCI,RT only percentage UCI,Surgery only count,Surgery only percentage,Surgery only percentage LCI,Surgery only percentage UCI,CT and RT count,CT and RT percentage,CT and RT percentage LCI,CT and RT percentage UCI,Surgery and CT count,Surgery and CT percentage,Surgery and CT percentage LCI,Surgery and CT percentage UCI,Surgery and RT count,Surgery and RT percentage,Surgery and RT percentage LCI,Surgery and RT percentage UCI,Surgery and CT and RT count,Surgery and CT and RT percentage,Surgery and CT and RT percentage LCI,Surgery and CT and RT percentage UCI,Other care count,Other care percentage,Other care percentage LCI,Other care percentage UCI,Initial cohort size,Survival cohort size,Net survival 03m,Net survival 03m LCI,Net survival 03m UCI,Kaplan-Meier survival 03m,Kaplan-Meier survival 03m LCI,Kaplan-Meier survival 03m UCI,Net survival 06m,Net survival 06m LCI,Net survival 06m UCI,Kaplan-Meier survival 06m,Kaplan-Meier survival 06m LCI,Kaplan-Meier survival 06m UCI,Net survival 09m,Net survival 09m LCI,Net survival 09m UCI,Kaplan-Meier survival 09m,Kaplan-Meier survival 09m LCI,Kaplan-Meier survival 09m UCI,Net survival 12m,Net survival 12m LCI,Net survival 12m UCI,Kaplan-Meier survival 12m,Kaplan-Meier survival 12m LCI,Kaplan-Meier survival 12m UCI,Net survival 24m,Net survival 24m LCI,Net survival 24m UCI,Kaplan-Meier survival 24m,Kaplan-Meier survival 24m LCI,Kaplan-Meier survival 24m UCI,Net survival 36m,Net survival 36m LCI,Net survival 36m UCI,Kaplan-Meier survival 36m,Kaplan-Meier survival 36m LCI,Kaplan-Meier survival 36m UCI,Net survival 48m,Net survival 48m LCI,Net survival 48m UCI,Kaplan-Meier survival 48m,Kaplan-Meier survival 48m LCI,Kaplan-Meier survival 48m UCI,Net survival 60m,Net survival 60m LCI,Net survival 60m UCI,Kaplan-Meier survival 60m,Kaplan-Meier survival 60m LCI,Kaplan-Meier survival 60m UCI,Net survival 72m,Net survival 72m LCI,Net survival 72m UCI,Kaplan-Meier survival 72m,Kaplan-Meier survival 72m LCI,Kaplan-Meier survival 72m UCI
Pancreas,2013,All,All,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,8322,53865817,15.45,15.119,15.785,8322,.c,.c,.c,.c,1404,16.871,16.082,17.691,1805,21.689,20.817,22.588,884,10.622,9.979,11.303,211,2.535,2.219,2.896,3673,44.136,43.072,45.205,63,0.757,0.592,0.967,213,2.559,2.241,2.921,69,0.829,0.656,1.048,8254,2346,28.423,27.46,29.405,448,5.428,4.959,5.938,769,9.317,8.708,9.963,1638,19.845,18.999,20.719,107,1.296,1.074,1.564,364,4.41,3.988,4.875,311,3.768,3.378,4.201,375,4.543,4.115,5.014,8,0.097,0.049,0.191,22,0.267,0.176,0.403,5429,65.774,64.743,66.79,8254,7802,53.1,52,54.2,52.6,51.5,53.7,37.9,36.8,38.9,37.3,36.2,38.4,29.1,28,30.1,28.5,27.5,29.5,23.4,22.5,24.4,22.8,21.9,23.8,12.1,11.3,12.8,11.5,10.8,12.2,8.8,8.1,9.5,8.1,7.5,8.7,7.7,7,8.3,6.9,6.4,7.5,7,6.3,7.6,6.1,5.6,6.7,6.7,6,7.4,5.7,5.2,6.2
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,7913,53865817,14.69,14.368,15.018,7913,.c,.c,.c,.c,1353,17.098,16.285,17.944,1654,20.902,20.021,21.812,784,9.908,9.269,10.586,199,2.515,2.192,2.884,3598,45.469,44.375,46.569,62,0.784,0.612,1.003,201,2.54,2.216,2.911,62,0.784,0.612,1.003,7852,2253,28.693,27.703,29.704,427,5.438,4.958,5.962,624,7.947,7.369,8.566,1565,19.931,19.062,20.829,101,1.286,1.06,1.56,224,2.853,2.507,3.245,296,3.77,3.371,4.214,370,4.712,4.265,5.203,8,0.102,0.052,0.201,22,0.28,0.185,0.424,5266,67.066,66.018,68.097,7852,7409,51.1,50,52.3,50.7,49.5,51.8,35.3,34.2,36.4,34.8,33.7,35.9,26.2,25.2,27.3,25.7,24.7,26.7,20.5,19.6,21.4,19.9,19,20.8,9,8.3,9.7,8.5,7.9,9.1,6,5.4,6.5,5.4,4.9,5.9,5,4.4,5.5,4.3,3.9,4.8,4.3,3.8,4.9,3.6,3.2,4.1,4.1,3.5,4.7,3.3,2.9,3.7
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,789,53865817,1.465,1.364,1.571,789,.c,.c,.c,.c,177,22.433,19.66,25.474,174,22.053,19.3,25.078,106,13.435,11.232,15.992,20,2.535,1.647,3.883,298,37.769,34.453,41.204,0,0,0,0.485,14,1.774,1.06,2.956,0,0,0,0.485,788,368,46.701,43.242,50.192,61,7.741,6.073,9.819,294,37.31,34.002,40.74,118,14.975,12.653,17.636,6,0.761,0.349,1.651,80,10.152,8.233,12.458,39,4.949,3.641,6.694,198,25.127,22.224,28.271,3,0.381,0.13,1.113,13,1.65,0.967,2.802,331,42.005,38.606,45.482,788,784,83.3,80.6,86,82.7,79.8,85.1,71,67.8,74.3,70,66.7,73.1,60.1,56.6,63.7,58.9,55.4,62.3,52.1,48.5,55.7,50.8,47.2,54.2,25.8,22.7,29,24.7,21.8,27.8,18.4,15.6,21.3,17.2,14.7,19.9,15.4,12.7,18.1,13.9,11.6,16.4,13.5,10.9,16.1,11.7,9.6,14.1,12.2,9.6,14.8,10.3,8.3,12.6
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,Age 00-59,Age 00-59,All England,Persons,Not split by grade,Not split by nodal status,112,41620867,0.269,0.222,0.324,112,.c,.c,.c,.c,18,16.071,10.415,23.979,26,23.214,16.363,31.842,22,19.643,13.345,27.954,2,1.786,0.491,6.278,43,38.393,29.913,47.643,0,0,0,3.316,1,0.893,0.158,4.885,0,0,0,3.316,112,78,69.643,60.593,77.39,21,18.75,12.603,26.969,63,56.25,47.007,65.079,20,17.857,11.868,25.978,0,0,0,3.316,19,16.964,11.138,24.982,15,13.393,8.287,20.926,38,33.929,25.823,43.1,1,0.893,0.158,4.885,5,4.464,1.922,10.027,14,12.5,7.594,19.893,112,111,97.4,94.4,100.4,97.3,91.9,99.1,88.5,82.5,94.4,88.3,80.7,93,78.6,71,86.3,78.4,69.5,84.9,68.7,60.1,77.4,68.5,58.9,76.2,43.7,34.4,52.9,43.2,33.9,52.2,30.2,21.6,38.7,29.7,21.5,38.4,21.1,13.5,28.7,20.7,13.8,28.7,.g,.g,.g,17.1,10.8,24.7,.f,.f,.f,16.2,10.1,23.6
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,Age 60-69,Age 60-69,All England,Persons,Not split by grade,Not split by nodal status,204,5857570,3.483,3.021,3.995,204,.c,.c,.c,.c,44,21.569,16.478,27.71,53,25.98,20.446,32.403,39,19.118,14.312,25.065,10,4.902,2.684,8.787,54,26.471,20.892,32.919,0,0,0,1.848,4,1.961,0.765,4.932,0,0,0,1.848,203,142,69.951,63.321,75.839,23,11.33,7.669,16.427,114,56.158,49.28,62.806,38,18.719,13.953,24.648,1,0.493,0.087,2.737,24,11.823,8.075,16.989,15,7.389,4.529,11.832,83,40.887,34.354,47.758,1,0.493,0.087,2.737,6,2.956,1.362,6.297,35,17.241,12.666,23.033,203,202,92.8,89.2,96.4,92.6,88,95.5,85.1,80.1,90.1,84.7,78.9,88.9,74.4,68.3,80.5,73.8,67.1,79.3,67.1,60.5,73.6,66.3,59.4,72.4,33.3,26.8,39.9,32.7,26.3,39.2,23.5,17.6,29.5,22.8,17.3,28.8,19.7,14.1,25.3,18.8,13.8,24.5,16.8,11.5,22.1,15.8,11.2,21.2,.f,.f,.f,15.3,10.8,20.7
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,Age 60-69,Age 60-69,All England,Female,Not split by grade,Not split by nodal status,89,2997886,2.969,2.384,3.653,89,.c,.c,.c,.c,21,23.596,15.982,33.394,18,20.225,13.194,29.72,14,15.73,9.608,24.689,7,7.865,3.862,15.355,26,29.213,20.784,39.364,0,0,0,4.138,3,3.371,1.153,9.447,0,0,0,4.138,88,64,72.727,62.619,80.935,11,12.5,7.125,21.012,54,61.364,50.919,70.858,13,14.773,8.841,23.651,1,1.136,0.201,6.159,10,11.364,6.291,19.669,7,7.955,3.906,15.52,41,46.591,36.53,56.937,0,0,0,4.183,3,3.409,1.166,9.55,13,14.773,8.841,23.651,88,88,95.7,91.3,100,95.5,88.3,98.3,86.7,79.6,93.9,86.4,77.2,92,74.3,65.2,83.5,73.9,63.3,81.8,66.5,56.6,76.4,65.9,55,74.8,38.2,28,48.4,37.5,27.5,47.5,25.7,16.5,34.9,25,16.5,34.4,23.5,14.6,32.3,22.7,14.6,31.9,.g,.g,.g,17,10.1,25.6,.f,.f,.f,17,10.1,25.6
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,Age 60-69,Age 60-69,All England,Male,Not split by grade,Not split by nodal status,115,2859684,4.021,3.32,4.827,115,.c,.c,.c,.c,23,20,13.713,28.226,35,30.435,22.77,39.364,25,21.739,15.181,30.124,3,2.609,0.891,7.39,28,24.348,17.416,32.938,0,0,0,3.232,1,0.87,0.154,4.762,0,0,0,3.232,115,78,67.826,58.831,75.668,12,10.435,6.071,17.357,60,52.174,43.122,61.085,25,21.739,15.181,30.124,0,0,0,3.232,14,12.174,7.392,19.401,8,6.957,3.567,13.129,42,36.522,28.29,45.625,1,0.87,0.154,4.762,3,2.609,0.891,7.39,22,19.13,12.987,27.27,115,114,90.6,85.2,96,90.4,83.3,94.5,83.8,77,90.7,83.3,75.1,89,74.4,66.3,82.5,73.7,64.6,80.8,67.5,58.8,76.2,66.7,57.2,74.5,29.6,21.2,38.1,28.9,20.9,37.4,21.8,14.2,29.5,21.1,14.1,28.9,.g,.g,.g,15.8,9.8,23.1,.g,.g,.g,14.9,9.1,22.1,.f,.f,.f,14,8.4,21.1
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,All England,Persons,Not split by grade,Not split by nodal status,258,3849248,6.703,5.91,7.572,258,.c,.c,.c,.c,63,24.419,19.577,30.011,60,23.256,18.516,28.78,35,13.566,9.919,18.282,6,2.326,1.07,4.98,88,34.109,28.595,40.089,0,0,0,1.467,6,2.326,1.07,4.98,0,0,0,1.467,258,123,47.674,41.659,53.758,14,5.426,3.26,8.901,100,38.76,33.021,44.828,46,17.829,13.641,22.962,4,1.55,0.605,3.918,30,11.628,8.268,16.114,8,3.101,1.579,5.998,68,26.357,21.356,32.051,1,0.388,0.068,2.162,1,0.388,0.068,2.162,100,38.76,33.021,44.828,258,257,85.4,81,89.8,84.8,79.8,88.7,72.5,67,78.1,71.6,65.7,76.7,59.9,53.8,66,58.8,52.5,64.5,51.4,45.2,57.7,50.2,43.9,56.1,25.3,19.9,30.8,24.1,19.1,29.5,18,13.1,22.9,16.7,12.5,21.5,16.3,11.6,21.1,14.8,10.8,19.4,14.5,9.9,19.1,12.8,9.1,17.2,12.5,8.1,16.9,10.5,7.1,14.6
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,All England,Female,Not split by grade,Not split by nodal status,132,2051396,6.435,5.384,7.631,132,.c,.c,.c,.c,32,24.242,17.727,32.214,31,23.485,17.067,31.403,20,15.152,10.027,22.247,4,3.03,1.185,7.533,44,33.333,25.863,41.746,0,0,0,2.828,1,0.758,0.134,4.166,0,0,0,2.828,132,60,45.455,37.209,53.957,7,5.303,2.592,10.542,53,40.152,32.182,48.678,23,17.424,11.901,24.79,2,1.515,0.416,5.356,18,13.636,8.803,20.527,3,2.273,0.776,6.469,33,25,18.391,33.023,1,0.758,0.134,4.166,1,0.758,0.134,4.166,51,38.636,30.763,47.152,132,131,83.6,77.2,90,83.2,75.6,88.6,71.7,63.9,79.5,71,62.4,78,58.1,49.6,66.7,57.3,48.3,65.2,51.4,42.7,60.1,50.4,41.5,58.6,28.8,20.8,36.7,27.5,20.1,35.3,20.4,13.3,27.5,19.1,12.9,26.2,19.7,12.6,26.7,18.3,12.2,25.4,19.5,12.4,26.7,17.6,11.6,24.5,.g,.g,.g,13,7.9,19.3
Pancreas,2013,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-2,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,All England,Male,Not split by grade,Not split by nodal status,126,1797852,7.008,5.838,8.344,126,.c,.c,.c,.c,31,24.603,17.908,32.801,29,23.016,16.53,31.098,15,11.905,7.349,18.715,2,1.587,0.436,5.603,44,34.921,27.155,43.579,0,0,0,2.959,5,3.968,1.707,8.954,0,0,0,2.959,126,63,50,41.4,58.6,7,5.556,2.717,11.024,47,37.302,29.351,46.004,23,18.254,12.483,25.904,2,1.587,0.436,5.603,12,9.524,5.532,15.91,5,3.968,1.707,8.954,35,27.778,20.703,36.167,0,0,0,2.959,0,0,0,2.959,49,38.889,30.826,47.609,126,126,87.2,81.2,93.2,86.5,79.2,91.4,73.4,65.4,81.3,72.2,63.5,79.2,61.7,53,70.4,60.3,51.2,68.2,51.5,42.5,60.4,50,41,58.3,21.8,14.4,29.2,20.6,14.1,28.1,.g,.g,.g,14.3,8.9,21,.g,.g,.g,11.1,6.4,17.3,.g,.g,.g,7.9,4.1,13.5,.f,.f,.f,7.9,4.1,13.5
